,IUCA,Texto,Etiqueta
88,12,¿Qué se paga en el Monotributo?,definicion
90,12,¿Qué significa pagar el Monotributo?,definicion
91,12,¿Qué items comprende el pago del Monotributo?,definicion
92,12,¿Qué estoy pagando cuando abono el monotributo?,definicion
93,12,¿Para qué se paga el monotributo?,definicion
94,12,¿Qué contempla el pago del monotributo?,definicion
109,15,¿qué significan Ingresos Brutos?,definicion
110,15,¿Cuáles son mis ingresos brutos?,definicion
111,15,¿Qué considera el monotributo como ingreso bruto?,definicion
112,15,¿Qué son los ingresos brutos?,definicion
113,15,¿Qué comprenden los ingresos brutos?,definicion
114,15,¿Qué son los ingresos brutos para los monotributistas?,definicion
219,30,¿Qué es una unidad de explotación?,definicion
220,30,¿Qué es una actividad económica?,definicion
221,30,¿Qué diferencia hay entre unidad de explotación y actividad económica?,definicion
224,30,¿Cuál es la diferencia entre unidad de explotación y actividad económica?,definicion
248,33,"En cuanto al pago del iva, ¿Que me corresponde pagar si soy monotributista?",definicion
249,33,¿Qué diferencia hay a efectos del crédito fiscal ser Resposable Inscripto o Monotributista?,definicion
250,33,¿Qué conceptos debo pagar siendo Monotributista?,definicion
316,41,¿Cuál es mi domicilio Fiscal?,definicion
317,41,¿Qué significa domicilio fiscal?,definicion
319,41,¿Cómo sé cuál es mi domicilio fiscal?,definicion
324,41,¿Qué diferencia hay entre domicilio fiscal y real?,definicion
443,55,¿Qué significa código único de revista?,definicion
448,55,¿Un código CUR cuántos dígitos debe tener?,definicion
449,55,¿Qué es el código CUR?,definicion
576,71,¿Qué siginifica recategorizarme?,definicion
579,71,¿Cómo se define la recategorización?,definicion
580,71,¿A qué se refiere el concepto de  recategorización?,definicion
581,71,¿A qué se le denomina recategorización?,definicion
582,71,¿Cuál es la definición de  recategorización?,definicion
583,71,¿En qué consiste la  recategorización?,definicion
969,128,¿Qué significa el reintegro del componente impositivo?,definicion
1236,12,¿Qué conceptos componen el Monotributo?,definicion
1239,15,¿Qué se entiende por ingresos brutos?,definicion
1254,30,¿Qué se entiende por unidad de explotación? ¿y por actividad económica?,definicion
1257,33,"¿Cuál es la diferencia entre un responsable inscripto en el impuesto al Valor Agregado y un Monotributista, a los efectos de la generación de débito fiscal?",definicion
1265,41,¿Cuál es el domicilio fiscal de una persona humana?,definicion
1279,55,¿Qué es el CUR?,definicion
1295,71,¿Qué es la recategorización?,definicion
