,IUCA,Texto,Etiqueta
4,0,¿Qué sucede si me doy de baja y luego retomo mi actividad?,manera
59,7,¿Cuándo te dan de baja automáticamente del monotributo?,manera
102,14,¿Qué categoría de Monotributo me corresponde al inscribirme?,manera
103,14,¿En qué categoría me debo inscribir cuando inicio una actividad?,manera
104,14,¿Cómo puedo saber qué categoría me corresponde cuando me inscribo en el Monotributo?,manera
105,14,¿A qué categoría debería inscribirme cuando me dé de alta al monotributo?,manera
106,14,¿Cómo sé a qué categoría de monotributo corresponde mi actividad?,manera
107,14,"Cuando me inscriba al monotributo, ¿en base a qué elijo la categoría?",manera
108,14,Al iniciar una actividad ¿qué tengo que tener en cuenta para determinar la categoría?,manera
115,15,¿Cómo me doy cuenta de cuáles son mis ingresos brutos?,manera
116,16,¿Qué ingresos tengo que tener en cuenta si realizo más de una actividad?,manera
117,16,¿Cómo es la categorización cuando estoy inscripto en más de una actividad?,manera
118,16,Si estoy inscripto en varias actividades ¿La categorización es una sola o por actividad?,manera
119,16,Para categorizarme ¿Se considera solo la actividad principal o todas las actividades que realizo?,manera
121,16,Si realizo varias actividades ¿cómo me categorizo?,manera
122,16,"En caso de realizar más de una actividad, ¿en base a cuál determino la categorización?",manera
123,17,¿Qué ingresos tengo que tener en cuenta si además de mi actividad soy empleado?,manera
124,17,¿Cuáles son los ingresos que debo considerar si soy empleado en relación de dependencia?,manera
126,17,"Si a su vez soy empleado, ¿qué ingresos debo declarar para categorizarme en el monotributo?",manera
127,17,¿Cuáles ingresos brutos debo computar si también estoy en relación de dependencia?,manera
128,17,"En caso de también ser empleado, ¿qué ingresos debo considerar para determinar mi categoría?",manera
129,17,En caso de estar en relación de dependencia e inscribirse al monotributo ¿qué ingresos brutos tengo en cuenta?,manera
144,20,¿Cómo determino mi actividad principal?,manera
145,20,¿Cómo sé cuál es mi actividad principal?,manera
149,20,¿En qué me baso para saber cuál es mi actividad principal?,manera
151,21,¿Cómo se consideran los parámetros físicos si mi actividad la realizo en el mismo lugar que vivo?,manera
153,21,¿Cómo se calculan los valores de los parámetros si trabajo en mi casa?,manera
154,21,¿Cómo son los parámetros a tener en cuenta si trabajo en el mismo lugar en que vivo?,manera
155,21,"Si trabajo en mi casa, ¿cómo computo los parámetros de luz y superficie?",manera
156,21,En caso de que trabaje en mi casa ¿de qué forma calculo los gastos de espacio físico y luz para la categorización?,manera
157,21,Si trabajo desde mi hogar ¿cómo calculo la superficie y el consumo de la luz para la categorización?,manera
158,22,¿Cómo determino los parámetros físicos si no tengo local?,manera
159,22,"No tengo local, ¿Qué parámetros tengo que tener en cuenta?",manera
160,22,En caso de no tener un espacio físico ¿Cómo considero este parámetro?,manera
161,22,"Si voy a domicilio, ¿qué pasa con los parámetros físicos?",manera
162,22,Si presto servicios a domicilio ¿qué debo considerar para categorizarme?,manera
163,22,¿Qué pasa con los parámetros físicos si trabajo a domicilio?,manera
164,22,"Si mi actividad es primaria, ¿qué tengo que tener en cuenta para la categorización?",manera
173,24,¿Cómo se calculan los alquileres devengados?,manera
174,24,¿Qué debo tener en cuenta para determinar los alquileres devengados?,manera
179,25,"¿Qué debo hacer en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",manera
180,25,"¿Cómo son los aportes que debo pagar en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",manera
182,25,¿Cómo tengo que hacer si soy monotributista y a la vez administro una sociedad que no está adherida al régimen simplificado?,manera
183,25,¿Qué tendría que hacer si estoy también dirigiendo una sociedad que no está adherida al monotributo?,manera
184,25,¿Cómo debería hacer si aparte de mi actividad monotributista también ejerzo la dirección de una sociedad no comprendida en el regimen simplificado?,manera
185,25,"En el caso de ejercer también una administración de una sociedad no inscripta al régimen simplificado, ¿qué debo hacer?",manera
193,26,¿Cómo debo categorizarme si no fabrico bienes en serie?,manera
197,27,¿Los precios máximos rigen para quienes están inscriptos solamente en venta de bienes o para todos los Monotributistas?,manera
227,31,¿Qué puedo hacer con las cargas de familias cuando cambio de Responsable Inscripto a Monotributista?,manera
228,31,Al pasar de responsable inscripto a monotributista ¿qué sucede con las cargas familiares?,manera
229,31,Cuando paso a ser monotributista habiendo sido responsable inscripto ¿qué ocurre con las cargas de familia?,manera
234,32,¿Qué puedo hacer con el crédito fiscal cuando cambio de Responsable Inscripto a Monotributista?,manera
235,32,¿Cómo se reintegra el crédito fiscal por los bienes que tengo en existencia si paso de Responsable Inscripto a Monotributista?,manera
236,32,¿Qué pasa con el crédito fiscal si dejo de ser monotributista y paso a ser responsable inscripto?,manera
237,32,¿Qué ocurre con el crédito fiscal si siendo responsable inscripto paso a ser monotributista?,manera
238,32,Al pasar de responsable inscripto a monotributista ¿cómo sucede con el crédito fiscal?,manera
251,34,Si realizo actividades para las que debo pagar Impuesto a las Ganancias y para otras Monotributo ¿Qué pasa cuando adiciono otra actividad al Monotributo?,manera
252,34,¿Cómo influye la adición de una nueva actividad al Monotributo cuando a su vez pago anticipo por Ganancias por otra actividad?,manera
253,34,"Si agrego otra actividad al monotributo, ¿cómo se fijan los anticipos desarrollando otra actividad por las que pago impuesto a las ganancias?",manera
254,34,¿De qué manera interviene sumar una actividad en el monotributo al pago de anticipos del impuesto a las ganancias de otra actividad?,manera
256,34,"Si agrego una actividad nueva al monotributo, ¿De qué forma se verán modificados los anticipos por ganancias que pago por otra actividad?",manera
257,34,¿Qué sucede si agrego una actividad al monotributo con respecto al impuesto a las ganancias que pago por otras actividades. Influye además si pago aniticipo por ganancias?,manera
258,34,¿Cómo determino los anticipos del impuesto a las ganancias pagados por cierta actividad cuando adiciono otra actividad al monotributo?,manera
265,35,¿Para obtener el cuit es necesario que vaya yo o puede enviar a alguien?,manera
273,36,Para solicitar el CUIT ¿Debo tener en cuenta el domicilio real o fiscal?,manera
279,37,¿Qué debo realizar para solicitar el CUIT en forma presencial?,manera
284,37,"Para ir a tramitar mi CUIT, ¿qué debo llevar?",manera
286,37,¿Qué necesito presentar para obtener mi CUIT?,manera
287,37,¿Que cosas son necesarias presentar a la hora de tramitar in CUIT?,manera
298,39,¿Qué documentación debo presentar si soy extranjero y no tengo DNI?,manera
301,39,¿Qué debería presentar para inscribirme en el monotributo si no poseo DNI?,manera
303,39,"Soy extranjero, llevo viviendo mucho tiempo acá pero no tengo DNI, ¿cómo debo proceder para inscribirme en el monotributo?",manera
304,39,¿Qué necesito para tramitar el monotributo siendo extranjero sin DNI?,manera
322,41,¿Qué sucede con mi domicilio fiscal si no tengo un local fijo donde poner mi comercio?,manera
327,42,¿Cómo puedo demostrar que mi domicilio fiscal es diferente al de mi DNI?,manera
328,42,¿Qué documentación puedo presentar para demostrar mi domicilio fiscal?,manera
329,42,Si mi domicilio fiscal no es el que figura en el DNI ¿Qué debo hacer?,manera
