,IUCA,Texto,Etiqueta
16,2,¿Cómo me doy de baja del Monotributo?,procedimiento
17,2,¿Cómo es el procedimiento para darme de baja del Monotributo?,procedimiento
18,2,¿Cómo debo hacer para eliminar mi Monotributo?,procedimiento
19,2,¿Cómo dejo de ser Monotributista?,procedimiento
20,2,¿Cómo hago para darme de baja?,procedimiento
21,2,¿Qué tengo que hacer para darme de baja?,procedimiento
22,2,¿Cuáles son los pasos para darme de baja en el monotributo?,procedimiento
53,7,Si me dieron de baja por falta de pago ¿Cómo me doy de alta nuevamente?,procedimiento
335,43,¿Qué debo realizar para adherirme al Monotributo?,procedimiento
336,43,"Quiero inscribirme en el Monotributo, cumplo con todos los requisitos ¿Cómo debo hacer?",procedimiento
337,43,¿Cuál es el trámite para inscribirme en el Monotributo?,procedimiento
338,43,¿Cuál es el paso a paso para adherirme al Monotributo?,procedimiento
339,43,¿Por dónde debo comenzar para ser Monotributista?,procedimiento
341,43,¿Qué pasos debo seguir para adherirme al Monotributo?,procedimiento
342,43,¿Cómo me inscribo al monotributo?,procedimiento
343,43,¿Qué debo hacer para ser monotributista?,procedimiento
344,43,¿Cómo puedo inscribirme de manera online al monotributo?,procedimiento
345,43,¿Qué debo hacer para realizar la inscripción al monotributo?,procedimiento
355,45,¿Cómo debe hacer un condómino para inscribirse en el Monotributo?,procedimiento
356,45,¿Qué trámite debe realizar un condómino para ser Monotributista?,procedimiento
357,45,¿Cómo es la inscripción en el Monotributo en el caso de un condómino?,procedimiento
358,45,¿Qué debe hacer un condómino para adherirse al monotributo?,procedimiento
360,45,¿Cómo es posible que un condómino se inscriba en el monotributo?,procedimiento
361,45,¿Cómo un condómino puede ser monotributista?,procedimiento
362,45,¿Qué pasos se deben seguir para adherir un condómino al monotributo?,procedimiento
363,45,¿Qué requisitos se necesitan seguir para hacer que un condómino sea monotributista?,procedimiento
364,46,¿Cómo tengo que hacer para inscribir mi actividad?,procedimiento
365,46,¿Qué pasos debo seguir para declarar mi actividad económica?,procedimiento
366,46,¿Desde qué servicio de AFIP ingreso mi actividad económica?,procedimiento
367,46,¿Qué debo hacer para declarar mis actividades económicas?,procedimiento
368,46,¿Qué necesito para inscribir mi actividad económica?,procedimiento
369,46,¿A dónde debo ir para declarar una actividad económica?,procedimiento
370,46,¿Cómo debo hacer si quiero declarar una actividad?,procedimiento
371,46,"¿Para inscribir una actividad económica, por dónde debo ingresar?",procedimiento
433,54,¿Cómo obtengo la credencial de pago?,procedimiento
436,54,¿Qué necesito para ver mi credencial de pago?,procedimiento
437,54,"Si quiero imprimir credencial de pago, ¿qué debo hacer?",procedimiento
438,54,¿Cómo puedo ver mi credencial de pago?,procedimiento
440,54,¿Qué necesito descargar para la credencial de pago?,procedimiento
451,56,¿Cómo es el trámite para pasar de Responsable Inscripto a Monotributista?,procedimiento
452,56,¿Qué pasos debo seguir para cambiar de Régimen General a Régimen Simplificado?,procedimiento
453,56,Si soy Responsable Inscripto y deseo cambiarme al Monotributo ¿Cómo tengo que hacer?,procedimiento
454,56,¿Qué debo hacer si quiero pasarme a monotributista siendo responsable inscripto?,procedimiento
455,56,¿Cuáles son los pasos para hacer un traspaso de responsable inscripto a monotributista?,procedimiento
457,56,¿Cómo debo dar de baja al impuesto a las ganancias si me transfiero de responsable inscripto a monotributista?,procedimiento
458,56,¿Cuáles son los requisitos a tramitar para cambiar de responsable inscripto a monotributista?,procedimiento
459,56,"¿Qué debo hacer si quiero cambiar de régimen, de general a simplificado?",procedimiento
492,61,¿Cómo es el trámite para dar de baja una persona de la Obra Social?,procedimiento
493,61,¿Qué tengo que hacer para dar de baja a un integrante de la Obra Social?,procedimiento
496,61,¿Cómo sacar a una persona de la obra social?,procedimiento
497,61,"Si quiero dar de baja a una persona de mi obra social, ¿cómo puedo hacerlo?",procedimiento
499,61,¿Qué debo hacer si quiero sacar a alguien de mi grupo familiar de la obra social?,procedimiento
500,61,"Para sacar alguien de la obra social, ¿qué debo hacer?",procedimiento
501,62,¿Qué debo hacer si cambio mi actividad?,procedimiento
504,62,¿Cómo informo un cambio de actividad?,procedimiento
505,62,¿Qué trámite debo hacer para cambiar de actividad?,procedimiento
507,62,"Si quiero cambiar de actividad, ¿cómo lo informo?",procedimiento
508,62,"Para cambiar de actividad, ¿qué necesito hacer?",procedimiento
509,62,¿Cómo hago si quiero informar un cambio de actividad?,procedimiento
512,63,¿Cómo informo un inicio de relación de dependencia en el Monotributo?,procedimiento
513,63,"Si ahora soy un empleado en relación de dependencia, ¿cómo lo informo en mi monotributo?",procedimiento
515,63,¿Cómo cambio mi monotributo si ahora soy empleado en relación de dependencia?,procedimiento
