,IUCA,Texto,Etiqueta
81,11,¿Cuánto tengo que pagar de Monotributo?,referencia
82,11,¿Se paga diferente importe de acuerdo a la categoría de Monotributo?,referencia
83,11,¿Cuál es el importe que debo pagar según mi categoría?,referencia
84,11,"De acuerdo a mi categoría, ¿cuánto pago?",referencia
85,11,¿Qué cantidad debo abonar por el monotributo?,referencia
86,11,¿Difiere el importe del monotributo de acuerdo a la categoría?,referencia
87,11,¿La cantidad a abonar es conforme a la categoría del monotributo?,referencia
434,54,¿De dónde puedo sacar la credencial de pago?,referencia
444,55,¿Dónde puedo obtener el CUR?,referencia
498,61,"Para dar de baja a una persona de mi obra social, ¿a dónde debo dirigirme?",referencia
601,74,¿Cómo puedo saber si estoy incumpliendo con algún o algunos requisistos del Monotributo?,referencia
602,74,¿Dónde puedo ver mis inconsistencias en el Monotributo?,referencia
603,74,¿En qué lugar se podrá consultar el monotributista si tiene inconsistencias?,referencia
604,74,¿Dónde podrá consultar el monotributista si tiene datos inconsistentes ?,referencia
605,74,¿Dónde se podrá consultar el monotributista si tiene datos erróneos?,referencia
606,74,¿En qué sitio podrá consultar el monotributista si tiene inconsistencias?,referencia
607,74,¿En qué sitio podrá consultar el monotributista si tiene  datos inconsistentes?,referencia
688,85,¿Dónde veo los motivos por los cuales se me recategorizó de oficio?,referencia
691,85,¿En qué lugar se podrán consultar los motivos de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?,referencia
692,85,¿Está disponible un sitio donde se pueda buscar sobre los motivos de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?,referencia
693,85,¿En qué sitio se puede buscar sobre los motivos de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?,referencia
694,85,¿Existe un lugar donde se pueda consultar las razones de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?,referencia
695,85,¿Es posible encontrar un lugar donde se pueda consultar las razones de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?,referencia
940,122,¿Desde dónde pago el Monotributo?,referencia
959,126,¿Dónde encuentro el listado de bancos que cobran el VEP?,referencia
1016,134,¿Dónde obtengo la credencial de pago?,referencia
1063,140,¿Dónde puedo reclamar una diferencia existente en el sistema?,referencia
1098,144,¿Qué comprobante debo tener a la vista en mi local?,referencia
1099,144,¿Qué documentación respaldatoria debo mostrar en mi negocio?,referencia
1100,144,¿Qué documentos avalan mi condición de monotributista?,referencia
1101,144,¿Qué formulario debo exhibir en mi local?,referencia
1103,145,¿Cuáles son los comprobantes que debo emitir?,referencia
1104,145,¿Qué tipos de comprobantes puedo hacer?,referencia
1106,145,¿Qué letras de comprobantes puede hacer un Monotributista?,referencia
1107,145,¿Qué tipo de comprobante tengo que dar?,referencia
1108,145,¿Qué clase de comprobante emito?,referencia
1111,145,¿Qué comprobante es válido de emitir?,referencia
1122,147,Los comprobantes de exportación ¿Tienen alguna letra específica?,referencia
1123,147,¿Qué letra tienen los comprobantes de exportación?,referencia
1124,147,¿Cuál es la denominación del comprobante de exportación?,referencia
1125,147,¿Qué letra llevan los comprobantes de exportación?,referencia
1126,147,"Las facturas de exportación, ¿llevan una letra específica?",referencia
1127,147,¿Qué tipo llevan las facturas de exportación?,referencia
1128,148,¿Todos los comprobantes deben tener código de barras?,referencia
1129,148,¿El código de barras es para todos los tipos de comprobantes?,referencia
1130,148,¿Cuáles son los comprobantes que deben llevar código de barra?,referencia
1131,148,¿Qué tipo de factura lleva el código de barra?,referencia
1132,148,¿Qué letra tienen los comprobantes que incluyen código de barra?,referencia
1133,148,¿Qué tipo de comprobante necesita un código de barra?,referencia
1134,148,¿Los comprobantes de qué tipo contienen código de barra?,referencia
1141,149,¿Dónde informo todos los comprobantes que emito?,referencia
1142,149,¿Dónde informo el registo de todos mis comprobantes?,referencia
1154,151,¿Qué letra tienen los remitos?,referencia
1155,151,¿Cuál es la denominación del remito?,referencia
1156,151,¿Qué letra llevan los comprobantes tipo remito?,referencia
1158,151,¿Qué tipo llevan los remitos?,referencia
1169,153,¿Qué comprobantes hay que emitir electrónicamente?,referencia
1171,153,¿Qué comprobantes debo emitir electrónicamente?,referencia
1172,153,¿Qué comprobantes debo emitir si o si de manera electrónica?,referencia
1173,153,¿Cuáles comprobantes son obligatorios de presentar de forma electrónica?,referencia
1174,153,¿Cuáles son los comprobantes que tengo obligación de emitir electrónicamente?,referencia
1175,153,¿Cuáles son los comprobantes que tengo que presentar obligatoriamente de forma electrónica?,referencia
1183,155,¿Qué tipo de comprobantes pueden hacer los Monotributistas del régimen de inclusión social y promoción del trabajo independiente?,referencia
1185,155,"Si estoy inscrito en el régimen de inclusión social y promoción del trabajo independiente, ¿Qué clase de factura emito?",referencia
1186,155,¿Cuál es el tipo de factura que debo emitir si estoy en el régimen de inclusión social y promoción del trabajo?,referencia
1187,155,¿Qué clase de factura emito estando en el régimen de inclusión social?,referencia
1188,155,"Me encuentro adherido al régimen de inclusión social y promoción del trabajo independiente, ¿Qué tipo de factura debo confeccionar?",referencia
1189,155,"Al estar inscrito en el régimen de inclusión social y promoción del trabajo independiente, ¿Qué clase de factura hago?",referencia
1190,156,"¿Qué tipo de comprobantes pueden hacer los Monotributistas del tipo ""efector social""?",referencia
1193,156,"Si estoy inscrito como efector social, ¿Qué clase de factura emito?",referencia
1194,156,¿Cuál es el tipo de factura que debo emitir si soy monotributista efector social?,referencia
1195,156,¿Qué clase de factura emito estando en el régimen de efector social?,referencia
1196,156,"Me encuentro inscripto como monotributista bajo la condición efector social, ¿Qué tipo de factura debo confeccionar?",referencia
1197,156,"Al estar inscrito como monotributista bajo la condición efector social, ¿Qué clase de factura hago?",referencia
1235,11,¿Cuáles son las categorías e importes a pagar?,referencia
1298,74,¿Dónde podrá consultar el monotributista si tiene inconsistencias?,referencia
1309,85,¿Dónde se podrán consultar los motivos de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?,referencia
1369,144,¿Qué documentación se deberá exhibir en los locales?,referencia
1370,145,¿Qué comprobantes debe emitir un monotributista?,referencia
1372,147,¿Qué letra deben contener las facturas de exportación?,referencia
1373,148,¿Qué comprobantes deben contener el Código de Barras?,referencia
1376,151,¿Qué letra deben contener los remitos?,referencia
1378,153,¿Cuáles son los comprobantes alcanzados a la obligación de emisión electrónica?,referencia
1380,155,De encontrarse adherido al régimen de inclusión social y promoción del trabajo independiente ¿Qué tipo de factura debe emitir?,referencia
1381,156,"¿Qué tipo de factura deben de emitir los monotributistas inscriptos baja la condición ""efector social""?",referencia
