,IUCA,Texto,Etiqueta
0,0,¿Puedo darme de baje por el tiempo en que no realice la actividad luego darme de alta cuando la retome?,si_no
1,0,"Si dejo de trabajar por un tiempo, ¿puedo darme de baja y luego volver a darme de alta?",si_no
2,0,"¿Puedo dar de baja mi monotributo y transcurrido un período de tiempo, darme de alta nuevamente?",si_no
3,0,¿Es obligatorio seguir inscripto en el régimen si dejo de ejercer mi actividad?,si_no
5,0,¿Me tengo que dar de alta de nuevo si me doy de baja y luego retomo mi actividad?,si_no
6,0,¿Puedo suspender mi inscripción hasta que retome mi actividad?,si_no
7,0,¿Se puede interrumpir la inscripción del monotributo hasta que vuelva a ejercer mi actividad?,si_no
8,1,¿Puedo quedar excluido del Monotributo?,si_no
10,1,¿AFIP me puede excluir del Monotributo?,si_no
11,1,¿Puedo quedar fuera del Monotributo?,si_no
23,3,¿Me puedo volver a adherir si me di de baja?,si_no
25,3,"Si me di de baja el monotributo porque ya no realizaba la actividad, ¿Puedo volver a darme de alta nuevamente?",si_no
27,3,"Si me di de baja, ¿es posible darme de alta otra vez?",si_no
28,3,¿Me puedo dar de alta de nuevo si me había dado de baja por cese de actividad?,si_no
29,3,¿Me puedo adherir de nuevo al haberme dado de baja debido a la interrupción de mi actividad?,si_no
30,3,"Si dejé de ejercer mi actividad y me di de baja, luego cuando retome ¿me podré volverme a inscribir?",si_no
38,5,Si me paso a Responsable Incripto ¿puedo volver al Monotributo en cualquier momento?,si_no
39,5,Si renuncio al Monotributo para optar por otro régimen ¿Puedo volver al monotributo?,si_no
42,5,En caso de renunciar ¿puedo optar de nuevo por el monotributo?,si_no
44,5,¿Puedo volver a ser monotributista inmediatamente si renuncié para ser responsable inscripto?,si_no
54,7,¿Puedo volver a darme de alta en el Monotributo si me dieron la baja por falta de pago?,si_no
55,7,Si me dan de baja en el Monotributo ¿Puedo volver a darme de alta?,si_no
56,7,"Si me dieron de baja automáticamente, ¿me puedo dar de alta otra vez?",si_no
57,7,¿Me puedo adherir de nuevo al haberme dado de baja por falta de pago?,si_no
58,7,¿Es posible inscribirse al monotributo otra vez si me eliminaron por falta de pago?,si_no
67,9,Si paso de Monotributista a Responsable Inscripto ¿Puedo tomar el crédito fiscal?,si_no
68,9,¿Puedo computar el crédito fiscal siendo Monotributista y luego tomarlo si me paso a Responsable Inscripto?,si_no
69,9,Si ahora soy responsable inscripto ¿puedo tomar el crédito fiscal?,si_no
70,9,"Si ahora soy responsable inscripto habiendo sido monotributista, ¿es posible computar el crédito fiscal?",si_no
71,9,¿Es posible tomar crédito fiscal si paso de monotributista a responsable inscripto?,si_no
72,9,¿Se puede computar el crédito fiscal si ya no soy monotributista sino responsable inscripto?,si_no
73,9,¿Se computa el crédito fiscal al pasar de monotributista a responsable inscripto?,si_no
75,10,¿Existe la posibilidad de darme de baja del Monotributo con fecha de varios meses atrás?,si_no
77,10,¿Puedo darme de baja con retroactividad?,si_no
78,10,¿Me puedo dar de baja con fecha anterior a la actual?,si_no
79,10,¿Es posible darme de baja con una fecha anterior?,si_no
80,10,¿Se puede tramitar una baja con una fecha anterior?,si_no
89,12,¿El Monotributo es un impuesto?,si_no
95,13,¿Estoy obligado a pagar todos los conceptos del Monotributo?,si_no
96,13,"Soy profesional, ¿tengo que pagar la parte previsional del Monotributo?",si_no
101,13,¿Estoy exceptuado de pagar todos los conceptos del monotributo?,si_no
120,16,¿Debo tomar sólo una actividad como referencia para la categorización?,si_no
125,17,¿Debo considerar mis ingresos por la actividad que estoy inscripto en Monotributo y los que recibo por estar en relación de dependencia?,si_no
130,18,¿Siempre se tienen en cuenta todos los parámetros del Monotributo?,si_no
131,18,¿Es obligatorio tener en cuenta el parámetro de energía eléctrica?,si_no
136,18,¿El parámetro de la energía eléctrica se considera en la categorización de todas las actividades?,si_no
137,19,¿Siempre se tienen en cuenta todos los parámetros del Monotributo?,si_no
138,19,¿es obligatorio tener en cuenta el parámetro de superficie afectada?,si_no
143,19,El parámetro de superficie afectada ¿se tiene en cuenta en todas las actividades?,si_no
146,20,Si realizo más de una actividad ¿Se consideran todas por igual?,si_no
147,20,Si realizo más de una actividad ¿Hay una que se considere más importante?,si_no
148,20,Si realizo varias actividades ¿debo declarar cuál es la principal?,si_no
150,20,¿Hay que establecer una actividad principal si se realizan varias?,si_no
152,21,¿Debo tener en cuenta los parámetros si realizo la actividad en mi casa?,si_no
166,23,¿Hay un límite de empleados que puedo tener siendo Monotributista?,si_no
167,23,¿Debo tener cierta cantidad de empleados de acuerdo a la categoría de monotributista que soy?,si_no
168,23,¿Hasta cuántos empleados puedo contratar?,si_no
170,23,¿Existe un límite en la cantidad de empleados según la categoría?,si_no
172,24,"Para calcular los alquileres devengados ¿Hay que tener en cuenta gastos como luz, gas o teléfono?",si_no
175,24,¿Hay que tener en cuenta los servicios como la luz y el gas para computar los alquileres devengados?,si_no
176,24,"¿Se deben evaluar los gastos de luz, gas y teléfono en los alquileres devengados?",si_no
177,24,¿Tengo que tener en cuenta la luz y el gas para determinar los alquileres devengados?,si_no
178,24,"¿Se consideran los gastos por servicio (como luz, gas, etc) para establecer los alquileres devengados?",si_no
181,25,"¿Es el mismo aporte el que realizo si soy monotributista por una actividad y el que realizo por ejercer la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
186,25,"¿Debo hacer algo en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
187,25,"¿Debo pagar aportes en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
188,26,Si fabrico y vendo un objeto por única vez ¿Debo categorizarme por esa actividad?,si_no
189,26,"Si estoy inscripta por brindar servicios, pero por única vez vendo un objeto  ¿Debo inscribirme en venta de cosas muebles?",si_no
190,26,¿Estar inscripto en servicios permite al menos una vez vende un bien mueble?,si_no
191,26,"Si no fabrico en serie, ¿debo categorizarme como venta de cosa mueble?",si_no
192,26,Si fabrico bienes personalizados ¿se considera como venta de cosa mueble?,si_no
194,26,¿Debo cambiar de categoría si brindo servicios pero de vez en cuando vendo algún objeto?,si_no
195,27,¿Hay un precio máximo unitario para venta de productos?,si_no
196,27,¿Existe un límite en el precio de los bienes que vendo para ser Monotributista?,si_no
198,27,Si soy monotributista ¿tengo un tope en el precio máximo por unidad de venta?,si_no
199,27,¿Hay un tope máximo en el precio por unidad?,si_no
200,27,Cuando se vende ¿existe un precio máximo unitario a tener en cuenta?,si_no
201,27,¿Hay un límite superior para la venta de productos por unidad?,si_no
205,28,¿Existe algún impedimento para realizar importaciones si soy Monotributista?,si_no
206,28,¿Puedo vender bienes del exterior en Argentina?,si_no
207,28,Antes de inscribirme en el monotributo ¿Puedo haber realizado importaciones?,si_no
209,28,Si soy monotributista ¿puedo importar bienes?,si_no
210,28,¿Es posible hacer importaciones siendo monotributista?,si_no
211,28,¿Puedo traer productos del extranjero para vender?,si_no
212,29,¿Se aplica  la alícuota del 27% en las facturas de servicios públicos a los Monotributistas?,si_no
213,29,¿Existe una alícuota diferencial en los servicios públicos para los Monotributistas?,si_no
214,29,"Si soy monotributista, ¿se me aplica la alicuota del 27 porciento en los servicios públicos?",si_no
215,29,¿Es aplicable la alicuota del veintisiete porciento en los servicios públicos para los monotributistas?,si_no
216,29,¿Resulta aplicable la alícuota del 27% para las prestaciones de servicios públicos recibidas por los monotributistas?,si_no
217,29,La alícuota del 27% en los servicios públicos ¿se aplica para los monotributistas?,si_no
218,29,¿Siendo monotributista se me imputa la alicuota del 27% en las facturas de los servicios públicos?,si_no
222,30,¿Es lo mismo unidad de explotación que actividad económica?,si_no
223,30,¿Se debe contabilizar de la misma forma las unidades económicas y las actividades económicas?,si_no
225,30,¿Se computan de la misma forma tanto las unidades como las actividades económicas?,si_no
226,31,Si paso de Responsable Inscripto a Monotributista ¿Puedo computar las cargas de familias?,si_no
230,31,¿Se computan las cargas de familia si dejo de ser responsable inscripto y ahora soy monotributista?,si_no
231,31,Si antes era responsable inscripto y ahora soy monotributista ¿debo calcular las cargas de familias?,si_no
232,31,¿Son computables las cargas de familias al pasar a ser monotributista?,si_no
233,32,Si paso de Responsable Inscripto a Monotributista ¿Puedo computar el crédito fiscal?,si_no
239,32,"Si estoy en condiciones para optar por el monotributo siendo responsable inscripto, ¿debo devolver el crédito fiscal?",si_no
240,32,Al pasar de responsable inscripto a monotributista ¿se reintegra el crédito fiscal?,si_no
241,33,¿Es lo mismo a efectos del crédito fiscal ser Resposable Inscripto o Monotributista?,si_no
242,33,Si soy Monotributista ¿Puedo tomar el crédito fiscal?,si_no
243,33,¿Estoy obligado a pagar IVA siendo Monotributista?,si_no
244,33,"En cuanto al pago del iva, ¿me corresponde pagar si soy monotributista?",si_no
245,33,¿Pago el IVA si soy monotributista?,si_no
246,33,En caso de ser monotributista ¿tengo que pagar el impuesto al valor agregado?,si_no
247,33,Si ahora soy monotributista ¿comienzo a pagar iva?,si_no
255,34,"Si agrego una actividad nueva al monotributo, ¿se verán modificados los anticipos por ganancias que pago por otra actividad?",si_no
259,35,¿Puedo delegar el trámite de solicitud de CUIT?,si_no
260,35,Para generar el CUIT ¿Puede hacerlo otra persona en mi nombre?,si_no
