question,label
¿Dónde debo solitar la CUIT?,ubicacion
Si quiero solicitar el CUIT de manera personal ¿Dónde debo hacerlo?,ubicacion
¿A qué lugar debo concurrir para solicitar el CUIT?,ubicacion
¿A dónde debo ir para tramitar el CUIT?,ubicacion
"Si quiero obtener el CUIT, ¿a dónde debo dirigirme?",ubicacion
"Para solicitar el CUIT personalmente, ¿a dónde tengo que ir?",ubicacion
"Si envío un tercero, ¿a dónde debe ir para obtener mi CUIT?",ubicacion
¿En qué lugar debo tramitar mi CUIT?,ubicacion
¿En qué dependencia se debe solicitar la CUIT?,ubicacion
"Si me di de baja el monotributo por que ya no realizaba la actividad, ¿Cuánto tiempo tengo que esperar para darme de alta nuevamente?",temporal
"Si me di de baja el monotributo porque ya no realizaba la actividad, ¿Cuánto tiempo tengo que esperar para darme de alta nuevamente?",temporal
Si AFIP me excluye del Monotributo ¿Cuándo puedo volver a darme de alta?,temporal
"En caso de quedar excluido del Monotributo, ¿Cuándo puedo volver a serlo?",temporal
¿Cuánto tiempo tiene que trancurrir desde que quedé excluido del Monotributo hasta que pueda volver a adherirme?,temporal
"Si me excluyeron del monotributo, ¿qué tiempo debo esperar para darme de alta otra vez?",temporal
¿Cuánto tengo que esperar para adherirme al monotributo nuevamente luego de quedar excluido?,temporal
¿Cuánto tiempo tiene que pasar para poderme inscribir de nuevo al monotributo porque afip me excluyó?,temporal
Si afip me dio de baja por exclusión ¿durante cuánto tiempo no me puedo volver a adherir?,temporal
Si era Monotributista y luego me pasé a Responsable Incripto ¿Cuándo puedo volver a ser Monotributista?,temporal
Si renuncié al monotributo y ahora soy responsable inscripto ¿cuánto tengo que esperar para ser monotributista de nuevo?,temporal
En caso de renunciar ¿cuánto tengo que esperar para optar de nuevo por el monotributo?,temporal
Si cambié de regimen y dejé de ser monotributista ¿cuánto tiempo tiene que pasar para que pueda volver a serlo?,temporal
¿Desde cuándo tiene vigencia la baja del Monotributo?,temporal
Si me doy de baja del Monotributo ¿Desde cuándo comienza a correr?,temporal
Si me doy de baja del Monotributo ¿Hasta qué fecha sigo siendo Monotributista?,temporal
¿Cuándo se refleja en el sistema la baja del monotributo?,temporal
¿A partir de cuándo tiene efecto la cancelación del monotributo si renuncié?,temporal
¿Cuándo tendrá efecto la solicitud de baja por cese de actividad?,temporal
¿Desde qué momento se hace efectiva la baja del monotributo?,temporal
¿Desde cuándo tiene vigencia la baja del Monotributo por exclusión?,temporal
Si me excluyen del Monotributo ¿Desde cuándo comienza a tener vigencia?,temporal
Si me excluyen del Monotributo ¿Hasta qué fecha sigo siendo Monotributista?,temporal
¿Cuándo se refleja en el sistema la baja del monotributo por exclusión?,temporal
¿A partir de cuándo tiene efecto la exclusión del monotributo?,temporal
"Si me dieron de baja por exclusión, ¿a partir de qué momento ya no soy monotributista?",temporal
¿Desde qué momento se hace efectiva la baja por exclusión?,temporal
¿Cuánto tiempo hacia atrás puedo solicitar la baja del Monotributo?,temporal
¿Hasta qué fecha anterior puedo darme de baja?,temporal
¿Cuánto tiempo debe transcurrir desde que dejé de importar bienes hasta que me puedo inscribir en el Monotributo?,temporal
¿Desde cuándo soy Monotributista?,temporal
¿Soy Monotributista desde el día en que me inscribo?,temporal
¿El alta del Monotributo depende del día o del mes en que lo haga?,temporal
¿A partir de cuándo ya soy monotributista?,temporal
¿Cuándo puedo llamarme monotributista si realizo la inscripción hoy?,temporal
¿Cuándo pago por primera vez al darme de alta el Monotributo?,temporal
"Una vez inscripto, ¿cuándo debo pagar el monotributo por primera vez?",temporal
¿Cuánto tiempo me dan para hacer el primer pago al monotributo una vez inscripto?,temporal
"Una vez iniciadas las actividades del monotributo, ¿hasta cuándo tengo para realizar el primer pago?",temporal
¿Cuándo es mi fecha de vencimiento para realizar el primer pago una vez iniciado las actividades del monotributo?,temporal
¿En qué fecha debo realizar la recategorización?,temporal
¿Hay una fecha establecida para recategorizarme?,temporal
